Customer_ID,Income,Recency,Is_Parent,Age,Spent,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds
4653,42011,46,1,43,189,131,0,16,2,1,39
7375,51369,84,1,45,576,297,7,79,0,11,182
709,51537,27,1,69,1103,787,20,204,0,0,92
460,79930,72,0,49,1753,792,86,740,67,51,17
3726,34320,66,1,35,17,4,1,9,3,0,0
6798,37070,30,1,55,433,231,7,137,4,15,39
5341,81975,2,1,59,1588,983,76,184,180,138,27
1606,38590,65,1,50,22,3,1,8,4,3,3
9617,15033,37,0,70,19,0,4,5,6,0,4
3233,62745,89,1,56,1117,562,21,464,28,10,32
89,22212,49,1,46,69,5,9,20,6,8,21
2936,23661,46,1,39,23,18,0,4,0,0,1
9449,79761,32,1,63,605,415,5,124,15,35,11
7297,7500,54,1,48,57,5,3,10,12,7,20
313,73455,98,0,53,2088,901,61,757,186,163,20
9940,64961,97,1,63,1009,382,114,276,75,124,38
10735,22804,75,1,50,26,14,1,7,2,1,1
9529,73687,8,0,31,1627,559,153,503,218,13,181
6439,61074,37,1,63,1102,789,0,133,0,28,152
7411,31686,31,1,57,17,11,0,5,0,0,1
2176,80134,40,1,49,1690,1218,16,272,104,0,80
9265,75027,74,1,68,1390,925,64,179,133,12,77
8867,67546,90,0,33,2126,864,134,768,150,38,172
8932,65176,57,1,52,1531,960,28,183,220,70,70
10236,31160,59,1,46,64,16,3,25,6,1,13
6340,29938,52,1,36,26,3,3,7,0,2,11
10089,102692,5,0,47,1112,168,148,444,32,172,148
2227,26490,92,0,63,210,45,47,52,21,20,25
10992,75702,77,1,54,1148,650,28,353,45,42,30
5304,30899,35,1,47,33,24,0,8,0,0,1
309,63342,48,1,60,1101,918,21,118,13,10,21
3406,45989,97,1,57,322,138,33,87,28,24,12
2661,18701,95,1,57,44,12,4,2,10,6,10
3153,40737,24,1,64,17,11,0,4,0,0,2
10264,15287,60,1,42,31,1,2,8,4,3,13
1184,69674,46,1,53,845,554,41,215,11,0,24
4200,44159,85,1,51,275,167,2,62,24,13,7
9396,37717,31,1,43,25,9,0,6,4,1,5
2387,43776,9,1,69,275,177,2,71,3,2,20
6690,38179,30,1,55,90,38,4,22,4,2,20
1225,80124,47,0,58,1495,483,84,398,205,84,241
9703,38097,70,1,51,184,77,2,35,0,1,69
291,72940,13,0,51,981,182,74,298,162,149,116
4557,22070,11,1,51,67,10,7,19,8,2,21
2379,69267,31,0,68,1635,778,44,499,95,73,146
5726,31788,15,1,38,60,16,7,23,0,8,6
3066,61905,2,1,46,231,167,0,43,6,2,13
6336,29315,55,1,61,48,13,2,14,8,7,4
10967,33378,38,1,58,99,33,6,40,3,7,10
2304,66313,86,1,58,770,625,7,99,10,22,7
3445,60714,56,0,65,957,216,162,224,101,92,162
7828,77882,29,0,40,818,68,129,396,188,22,15
3762,69867,30,0,35,925,196,0,512,33,130,54
4391,63841,64,1,53,908,635,15,100,20,7,131
4669,24480,46,1,40,102,4,19,9,28,25,17
10144,51369,84,1,45,576,297,7,79,0,11,182
8652,37760,20,0,75,317,84,5,38,150,12,28
1672,65640,74,1,47,461,204,7,149,20,15,66
8962,44319,18,1,46,37,26,0,8,0,0,3
9974,30631,75,1,47,70,15,6,20,4,5,20
10983,75278,17,0,69,930,304,98,230,150,74,74
8148,50898,88,1,65,859,285,28,242,55,114,135
10102,79946,19,0,55,1478,395,183,565,166,141,28
4697,35416,62,0,72,390,248,3,81,4,3,51
9262,32414,11,0,37,52,20,6,5,0,9,12
7254,38361,74,1,52,137,39,0,56,20,8,14
4543,82497,32,0,41,1919,777,129,573,216,21,203
4927,16626,76,1,50,68,8,3,22,21,1,13
10451,29672,6,1,56,25,9,1,3,0,4,8
2926,55951,62,1,69,1374,1241,0,80,0,13,40
2874,35388,20,1,33,32,6,4,7,4,3,8
9738,42386,43,1,35,100,65,4,16,0,4,11
7119,68627,45,0,39,825,395,15,263,60,54,38
3924,57912,34,1,56,916,801,0,80,0,0,35
5827,35246,53,1,63,62,36,0,12,2,2,10
5596,58821,44,1,65,728,513,14,154,19,0,28
10812,46377,89,1,43,90,37,0,46,4,3,0
1717,39747,43,1,33,273,80,15,93,20,13,52
9491,23976,68,1,37,66,14,1,21,2,3,25
9274,80950,44,0,60,1213,525,147,112,219,147,63
6609,27038,64,0,55,107,1,26,25,17,23,15
6963,77457,85,0,74,1157,675,11,400,15,45,11
4440,64100,93,1,57,546,509,0,27,0,0,10
1379,42670,12,0,29,241,154,2,46,20,4,15
10032,12571,86,1,45,53,3,5,14,2,12,17
2826,22574,28,1,54,37,25,0,8,2,0,2
2437,NA,69,0,32,1611,861,138,461,60,30,61
6320,70893,42,0,45,1508,768,44,561,77,44,14
3050,54198,13,1,55,235,185,0,28,3,2,17
231,28839,86,1,65,32,24,0,7,0,0,1
2392,40321,59,1,49,102,44,4,21,6,0,27
9478,66503,30,1,36,401,91,64,128,65,3,50
113,30833,33,1,70,28,11,0,7,3,1,6
2863,NA,67,1,51,1052,738,20,172,52,50,20
1802,64795,23,1,50,680,412,5,119,38,29,77
520,34421,81,1,47,30,3,3,7,6,2,9
8275,47025,6,1,56,20,16,0,3,0,0,1
9750,64325,41,1,60,1307,731,60,353,78,12,73
2607,40464,78,1,68,630,424,17,118,7,23,41
7214,62187,49,0,64,1283,792,0,275,45,45,126
5835,14849,39,1,45,65,21,2,28,3,2,9
3896,27255,3,1,37,37,22,1,11,0,1,2
10350,54432,37,1,71,38,33,0,5,0,0,0
7786,29999,22,1,35,160,68,7,59,10,5,11
2861,24072,79,1,38,23,9,1,6,3,0,4
663,33996,46,0,32,71,40,2,15,8,0,6
10675,66334,82,1,65,1161,909,11,218,0,0,23
2521,35178,10,1,50,59,23,1,13,2,2,18
9592,22010,51,1,38,33,11,2,9,3,0,8
10151,62204,38,1,61,946,317,46,247,151,46,139
7381,75693,10,0,53,1442,797,153,293,72,97,30
4099,30675,14,1,49,62,10,2,16,11,2,21
9560,83003,18,0,56,1674,856,61,570,40,25,122
10172,68655,95,0,33,1538,456,19,832,75,118,38
11191,41411,11,0,35,139,37,32,38,11,3,18
9707,55212,65,1,52,1182,1103,0,45,0,0,34
6245,59292,71,1,71,507,378,14,68,19,14,14
8234,27190,13,1,48,18,1,6,7,0,1,3
1411,82623,58,0,69,940,204,34,204,172,153,173
8553,44300,65,1,56,42,30,0,9,0,0,3
1826,84835,0,0,51,1190,189,104,379,111,189,218
8842,30372,33,1,50,44,15,0,12,7,3,7
11030,33181,90,1,45,16,9,0,3,0,0,4
2579,71113,95,1,64,835,495,33,255,11,33,8
175,71952,93,1,35,1443,656,80,455,52,107,93
9185,69759,38,0,55,1029,452,20,514,13,30,0
11056,72099,18,0,47,1188,546,91,410,119,0,22
9365,60000,57,1,45,1277,1048,0,217,0,0,12
6201,38643,45,1,43,49,22,2,14,0,1,10
2061,50737,61,1,66,99,78,0,11,0,0,10
6184,68462,6,0,52,1670,561,64,785,84,128,48
6142,65073,65,0,78,900,629,17,177,69,0,8
4107,46681,52,1,73,425,269,15,69,15,19,38
7274,78618,87,0,64,2153,736,163,818,212,163,61
9336,62187,38,1,52,636,512,0,83,0,0,41
2958,28442,53,1,43,57,19,3,10,11,8,6
933,37717,31,1,43,25,9,0,6,4,1,5
5837,51479,67,1,54,494,247,8,160,6,8,65
10704,54803,65,1,52,693,404,0,92,28,27,142
5125,79530,64,0,61,1348,333,0,815,129,42,29
4432,31615,82,1,45,51,2,3,20,6,11,9
5955,72025,27,0,59,1932,833,33,549,151,133,233
2928,52614,63,1,46,990,789,0,142,12,9,38
5680,35684,66,1,37,30,10,4,7,0,6,3
10313,48178,69,1,46,254,159,4,45,6,2,38
2557,29548,52,1,51,29,7,1,6,3,1,11
1245,63810,45,1,55,1371,977,12,253,16,12,101
1519,38578,2,1,49,73,38,4,22,3,3,3
10703,46098,86,1,46,120,57,0,27,0,0,36
1726,22585,23,0,51,81,3,9,15,13,2,39
4459,30279,13,1,32,37,10,4,14,4,4,1
1729,66426,14,1,60,1377,1043,24,97,32,24,157
1517,30822,92,1,52,51,3,9,13,2,12,12
2098,33581,38,1,52,17,11,0,5,0,0,1
9543,19986,74,1,36,22,3,6,5,0,2,6
6878,27421,14,0,67,324,43,12,96,78,40,55
3310,35688,94,1,48,211,73,3,90,12,1,32
2724,36143,33,1,40,19,12,0,1,0,0,6
948,10245,32,1,50,41,4,7,7,6,4,13
6720,43795,11,1,53,492,314,11,53,4,3,107
6202,63381,78,1,61,1005,571,50,142,33,50,159
2066,38823,56,1,72,114,70,0,11,2,8,23
9799,83664,57,1,53,1173,866,21,151,28,21,86
8318,90300,7,0,42,1738,594,134,786,33,134,57
5642,62499,0,1,42,222,140,4,61,0,13,4
2669,74293,66,0,28,1127,375,152,335,93,91,81
455,51012,86,0,75,209,102,9,63,2,9,24
7683,70777,80,1,53,787,554,35,113,0,7,78
3428,68682,56,0,30,1598,919,0,505,99,30,45
7414,43824,18,1,50,186,96,1,42,12,3,32
6354,15345,51,1,37,47,5,2,16,3,2,19
798,23442,71,1,34,27,2,0,6,8,6,5
8213,14515,71,1,41,96,6,4,9,6,36,35
2488,31395,80,1,65,64,23,1,25,0,8,7
9999,75276,2,0,56,1040,610,105,125,137,42,21
7617,42373,83,1,47,163,67,5,61,3,8,19
615,30507,29,0,61,343,65,36,74,38,20,110
2552,55521,11,1,66,446,416,0,26,0,0,4
194,48006,55,1,56,41,23,0,11,3,2,2
3645,27213,19,1,49,70,19,3,26,10,9,3
8890,65808,1,1,50,272,155,7,80,13,7,10
5049,30351,19,1,47,46,14,0,24,3,3,2
9973,50437,28,1,58,490,370,9,92,6,9,4
7301,23616,76,1,39,79,4,22,11,3,7,32
10882,53858,50,1,45,915,407,53,221,58,150,26
7030,66465,1,1,66,1485,1200,0,204,38,29,14
7422,46923,90,1,34,369,85,44,54,102,78,6
3523,75072,83,1,59,1073,583,34,309,0,22,125
7106,75865,73,0,78,1242,483,0,591,156,0,12
6504,19789,24,1,46,78,2,5,9,28,6,28
5067,80134,11,0,27,1378,966,26,282,52,26,26
4216,91065,33,0,40,1474,822,114,108,179,137,114
8581,49505,4,1,50,751,604,0,100,19,0,28
5929,37401,14,1,48,48,19,3,19,3,1,3
3129,30096,30,1,38,45,5,3,11,12,5,9
6528,18492,75,1,39,10,2,2,2,2,1,1
1361,82584,26,0,47,1435,1076,68,103,29,91,68
6932,93027,77,0,80,2119,1285,42,716,55,0,21
7284,48686,8,1,68,20,10,0,7,2,0,1
1340,92910,42,0,35,1795,551,137,792,179,103,33
8746,75433,28,1,32,1188,800,0,297,0,34,57
5987,10404,52,1,32,43,2,2,11,10,6,12
3767,61314,1,1,53,1008,378,0,189,97,172,172
3725,84865,1,0,60,1688,1248,16,349,43,16,16
4324,42387,42,1,32,684,235,0,235,19,4,191
238,67309,76,1,54,1082,515,47,181,149,95,95
6694,75236,27,1,57,1068,438,66,400,12,38,114
498,30015,28,1,51,57,25,0,22,2,3,5
9347,50943,49,1,65,46,31,0,7,2,0,6
9699,67272,12,1,55,733,357,35,271,28,28,14
10664,51529,14,1,72,467,400,4,35,6,0,22
5455,32011,89,1,50,122,99,0,15,2,1,5
456,7500,96,1,35,36,1,11,5,4,6,9
5012,28691,56,1,32,34,5,4,13,8,0,4
7495,56223,72,1,73,156,77,28,31,16,0,4
5029,18100,14,0,75,14,3,1,2,4,3,1
10642,30279,13,1,32,37,10,4,14,4,4,1
2106,20130,99,0,47,34,0,6,3,7,6,12
10364,23295,72,0,62,20,0,0,1,2,12,5
5954,42618,92,1,49,192,76,14,74,13,5,10
1137,81246,87,0,57,1379,398,190,537,61,156,37
2541,24027,7,1,45,48,14,7,11,11,0,5
1142,55707,91,1,68,428,208,7,82,30,66,35
2276,57959,71,1,66,868,430,16,322,43,24,33
2807,56796,24,1,52,1001,656,38,161,62,47,37
6471,36230,17,1,50,59,14,2,30,8,2,3
6131,70829,87,1,41,431,141,70,106,72,19,23
6233,65991,21,1,45,971,507,19,364,25,47,9
4148,38988,90,1,49,348,164,24,103,12,3,42
4947,89572,44,0,55,2059,606,24,974,197,194,64
3225,42207,71,1,37,265,116,11,72,3,17,46
7540,50300,52,1,69,270,143,15,60,24,23,5
10648,66664,78,0,39,1289,398,96,447,220,96,32
1992,60597,2,1,57,893,522,0,257,32,16,66
7851,70165,60,0,72,926,161,0,253,199,191,122
8594,50520,25,1,63,135,112,0,6,2,1,14
7059,80124,47,0,58,1495,483,84,398,205,84,241
2815,33183,46,1,46,120,7,5,39,17,15,37
2416,66582,83,0,52,1288,789,25,420,16,38,0
7999,75261,17,0,66,1743,1239,17,413,23,34,17
9213,31880,13,1,51,15,4,1,5,2,0,3
9697,53790,86,1,70,542,335,42,127,28,5,5
3916,49269,92,1,50,890,639,8,166,11,8,58
2021,61456,47,1,46,1388,563,76,384,84,192,89
1581,37406,18,1,41,17,2,0,8,2,2,3
564,56937,81,1,40,906,746,8,125,11,8,8
6619,38415,91,1,43,44,22,1,13,4,0,4
9081,20518,58,1,33,25,4,1,6,4,1,9
178,62503,40,1,65,973,478,0,193,110,75,117
916,41644,67,1,49,31,20,3,4,2,0,2
5512,55842,19,1,44,518,451,0,39,0,4,24
8970,62010,93,1,49,530,371,22,39,6,0,92
10581,41124,41,1,44,506,281,7,84,15,0,119
5300,38961,60,1,48,70,19,7,19,0,1,24
5154,37760,54,1,49,54,26,3,13,2,10,0
8346,32233,26,1,47,296,138,15,35,25,11,72
1676,43057,30,1,46,266,213,2,44,0,2,5
9286,83151,93,0,61,747,407,28,100,120,74,18
2426,78825,35,0,57,895,483,74,114,169,37,18
5172,65104,4,1,45,1053,738,0,232,13,20,50
5562,60093,92,1,47,735,502,12,109,16,6,90
3436,14045,24,1,52,20,11,0,5,2,1,1
3921,28457,96,0,69,205,24,1,108,29,29,14
3403,78952,11,1,63,2092,1170,19,594,99,76,134
22,46310,99,1,45,309,185,2,88,15,5,14
10965,76005,72,0,66,1722,983,20,389,240,50,40
9426,58308,77,1,57,900,691,0,69,10,0,130
6605,55614,85,0,77,682,504,13,131,8,0,26
3136,59432,88,1,59,663,317,25,265,25,19,12
8737,55563,22,1,43,43,29,1,9,2,0,2
11088,78642,83,1,50,1816,1396,0,322,46,35,17
716,67911,63,1,72,976,529,0,356,63,28,0
466,65275,9,0,77,746,388,14,218,91,14,21
9135,27203,92,1,71,64,13,2,21,4,0,24
10623,48330,2,1,60,32,28,0,4,0,0,0
8151,24279,6,0,31,263,16,36,21,20,62,108
5140,64355,66,1,36,1445,1047,0,140,67,38,153
10160,50943,49,1,65,46,31,0,7,2,0,6
4945,53653,29,0,68,1210,815,10,239,28,10,108
10584,65665,77,1,45,945,225,162,387,106,36,29
6071,81217,77,0,32,1157,493,70,324,146,40,84
3386,34935,71,0,29,137,34,4,66,3,10,20
8939,61250,49,1,62,730,382,138,65,60,26,59
9925,39665,97,1,40,216,127,1,56,0,1,31
4320,60152,6,1,42,943,325,83,300,86,58,91
5389,48920,93,1,57,347,238,17,68,8,10,6
6036,89120,78,0,62,1924,1168,92,408,72,129,55
182,44124,62,1,75,397,284,0,55,0,6,52
203,81169,47,0,46,2089,1288,20,613,80,61,27
11025,36443,9,1,60,138,65,0,46,4,3,20
10203,26095,77,1,31,42,11,7,9,3,1,11
4607,71367,24,0,62,777,227,23,389,42,21,75
3711,80184,19,0,77,1902,1035,134,670,25,38,0
3696,30630,67,1,56,52,27,1,12,2,0,10
2532,73454,95,0,34,1651,982,73,351,56,14,175
9214,42691,48,0,30,358,179,2,64,38,17,58
4943,70503,73,0,68,1727,1379,33,216,0,33,66
35,25545,35,1,34,210,32,1,64,16,12,85
2258,32880,76,1,35,42,8,4,15,7,6,2
4322,77863,20,0,63,1291,881,38,319,16,25,12
713,50353,72,0,44,442,141,15,153,67,31,35
4702,61839,20,0,57,1895,1000,155,379,224,17,120
3281,49154,69,1,61,411,206,10,67,30,27,71
702,47682,80,1,46,521,162,61,83,97,57,61
