Periodo,Producto,Cantidad,Precio,Ingresos
01/05/2018,garden10,29,53.70952381,1559.1
01/06/2018,garden10,6,49.9,299.4
01/07/2018,garden10,14,49.9,698.6
01/08/2018,garden10,10,49.9,499
01/01/2018,computers6,22,150.3545455,3307.8
01/02/2018,computers6,69,149.9,10343.1
01/03/2018,computers6,51,149.9,7644.9
01/04/2018,computers6,35,149.9,5246.5
01/05/2018,computers6,52,149.9,7794.8
01/06/2018,computers6,27,149.9,4047.3
01/07/2018,computers6,13,149.9,1948.7
01/08/2018,computers6,5,149.9,749.5
01/05/2017,garden6,4,59.9,239.6
01/06/2017,garden6,1,59.9,59.9
01/07/2017,garden6,14,59.9,838.6
01/08/2017,garden6,39,59.9,2336.1
01/09/2017,garden6,37,59.9,2216.3
01/10/2017,garden6,39,59.9,2336.1
01/11/2017,garden6,91,52.40694444,4769.7
01/12/2017,garden6,51,55.1,2881.6
01/01/2018,garden6,12,49.9,598.8
01/02/2018,garden6,39,50.54516129,1970.1
01/03/2018,garden6,31,53.9,1670.9
01/04/2018,garden6,46,53.9,2479.4
01/05/2018,garden6,56,53.41515152,2982.4
01/06/2018,garden6,12,49.9,598.8
01/07/2018,garden6,6,49.91,299.46
01/08/2018,garden6,6,49.91,299.46
01/02/2018,health10,21,47.35789474,994.04
01/03/2018,health10,58,48.45944444,2809.65
01/04/2018,health10,18,53.70176471,965.91
01/05/2018,health10,33,52.06928571,1723.08
01/06/2018,health10,9,49.98,449.82
01/07/2018,health10,5,51.512,257.56
01/08/2018,health10,11,50.71,557.85
01/06/2017,watches2,5,157.99,789.95
01/07/2017,watches2,6,171.792,1016.95
01/08/2017,watches2,5,169.9,849.5
01/09/2017,watches2,10,160.4,1604
01/10/2017,watches2,16,149.475,2391.6
01/11/2017,watches2,26,140.56,3660
01/12/2017,watches2,6,149,894
01/01/2018,watches2,8,148.5,1188
01/02/2018,watches2,14,145.9942857,2043.92
01/03/2018,watches2,9,123.9666667,1115.7
01/04/2018,watches2,10,119.19,1191.9
01/05/2018,watches2,22,118.1318182,2598.9
01/06/2018,watches2,1,139.9,139.9
01/07/2018,watches2,5,138.98,694.9
01/08/2018,watches2,3,138,414
01/04/2017,garden9,3,59.9,179.7
01/05/2017,garden9,7,59.9,419.3
01/06/2017,garden9,4,59.9,239.6
01/07/2017,garden9,19,59.9,1138.1
01/08/2017,garden9,21,59.9,1257.9
01/09/2017,garden9,23,59.9,1377.7
01/10/2017,garden9,19,59.9,1138.1
01/11/2017,garden9,82,53.37910448,4397.7
01/12/2017,garden9,40,55.77096774,2232.6
01/01/2018,garden9,25,49.9,1247.5
01/02/2018,garden9,44,51.025,2247.6
01/03/2018,garden9,25,53.9,1347.5
01/04/2018,garden9,20,53.9,1078
01/05/2018,garden9,17,52.56666667,888.3
01/06/2018,garden9,8,49.9,399.2
01/07/2018,garden9,9,49.9,449.1
01/08/2018,garden9,7,49.9,349.3
01/06/2017,watches6,4,163,652
01/07/2017,watches6,11,161.5909091,1777.5
01/08/2017,watches6,13,160.6692308,2088.7
01/09/2017,watches6,18,148.7785714,2762.5
01/10/2017,watches6,1,134.9,134.9
01/11/2017,watches6,15,133,1995
01/12/2017,watches6,4,149,596
01/02/2018,watches6,6,128.2416667,769.45
01/03/2018,watches6,31,117.4412903,3640.68
01/04/2018,watches6,85,105.648625,8961.49
01/05/2018,watches6,114,103.7925234,11820.2
01/06/2018,watches6,9,119,1071
01/07/2018,watches6,11,118.3636364,1302
01/08/2018,watches6,1,112,112
01/09/2017,cool3,1,29.5,29.5
01/01/2018,cool3,76,29.5,2242
01/03/2018,cool3,26,35,910
01/04/2018,cool3,4,35,140
01/05/2018,cool3,4,35,140
01/06/2018,cool3,2,65,130
01/08/2018,cool3,1,65,65
01/08/2017,perfumery2,1,142.5,142.5
01/09/2017,perfumery2,1,142.5,142.5
01/10/2017,perfumery2,2,142.5,285
01/11/2017,perfumery2,8,118.05,944.4
01/12/2017,perfumery2,12,118,1416
01/01/2018,perfumery2,6,117.9,707.4
01/02/2018,perfumery2,11,117.8888889,1296.8
01/03/2018,perfumery2,4,117.7,470.8
01/04/2018,perfumery2,8,117.975,943.8
01/05/2018,perfumery2,17,119.9,2038.3
01/06/2018,perfumery2,14,119.1785714,1668.5
01/07/2018,perfumery2,5,118.7,593.5
01/08/2018,perfumery2,17,116.9066667,1987.4
01/03/2017,cool2,8,129.99,1039.92
01/04/2017,cool2,14,129.99,1819.86
01/05/2017,cool2,18,129.99,2339.82
01/06/2017,cool2,17,129.99,2209.83
01/07/2017,cool2,16,129.99,2079.84
01/08/2017,cool2,16,116.9275,1870.84
01/10/2017,cool2,10,119.99,1199.9
01/11/2017,cool2,9,129.99,1169.91
01/12/2017,cool2,3,129.99,389.97
01/01/2018,cool2,4,129.99,519.96
01/02/2018,cool2,2,129.99,259.98
01/03/2018,cool2,1,129.99,129.99
01/04/2018,cool2,1,129.99,129.99
01/05/2017,computers1,4,94.9,379.6
01/06/2017,computers1,6,100.9,611.4
01/07/2017,computers1,10,109.9,1099
01/08/2017,computers1,2,109.9,219.8
01/09/2017,computers1,4,98.9,395.6
01/10/2017,computers1,4,98.9,395.6
01/11/2017,computers1,6,98.9,593.4
01/12/2017,computers1,1,98.9,98.9
01/01/2018,computers1,31,90.534,2795.14
01/02/2018,computers1,30,84.75608696,2537.19
01/03/2018,computers1,13,87.5,1139.8
01/04/2018,computers1,5,94,470
01/06/2018,computers1,4,73,292
01/07/2018,computers1,18,66.34214286,1199.48
01/08/2018,computers1,1,79.9,79.9
01/07/2017,consoles2,1,19.9,19.9
01/08/2017,consoles2,11,19.9,218.9
01/09/2017,consoles2,9,19.9,179.1
01/10/2017,consoles2,12,20.66666667,248
01/11/2017,consoles2,23,24.5,563.5
01/12/2017,consoles2,17,24.5,416.5
01/01/2018,consoles2,10,27.03333333,271.2
01/02/2018,consoles2,1,32.5,32.5
01/03/2018,consoles2,7,32.74285714,229.2
01/04/2018,consoles2,6,34.2,205.2
01/07/2017,watches8,2,239.9,479.8
01/10/2017,watches8,2,239.9,479.8
01/01/2018,watches8,2,229.9,459.8
01/02/2018,watches8,11,204.6181818,2250.8
01/03/2018,watches8,16,167.5,2680
01/04/2018,watches8,26,150.3423077,3908.9
01/05/2018,watches8,30,145.1666667,4355
01/06/2018,watches8,3,152.6333333,457.9
01/07/2018,watches8,14,157.1428571,2200
01/08/2018,watches8,11,157.9454545,1737.4
01/11/2017,furniture4,1,99.9,99.9
01/12/2017,furniture4,3,99.9,299.7
01/01/2018,furniture4,13,99.9,1298.7
01/02/2018,furniture4,13,99.9,1298.7
01/03/2018,furniture4,12,99.9,1198.8
01/04/2018,furniture4,13,99.9,1298.7
01/05/2018,furniture4,13,99.9,1298.7
01/06/2018,furniture4,10,99.9,999
01/07/2018,furniture4,14,78.53571429,1099.5
01/08/2018,furniture4,9,83.83333333,754.5
01/08/2017,watches5,8,229.9,1839.2
01/09/2017,watches5,10,219.06,2190.6
01/10/2017,watches5,8,216.15,1729.2
01/11/2017,watches5,12,203.2909091,2395.2
01/12/2017,watches5,28,224.5428571,6287.2
01/01/2018,watches5,10,220.77,2207.7
01/02/2018,watches5,21,205.6857143,4319.4
01/03/2018,watches5,16,216.1875,3459
01/04/2018,watches5,13,204.3846154,2657
01/05/2018,watches5,17,199,3383
01/01/2017,health7,1,64.99,64.99
01/02/2017,health7,5,64.99,324.95
01/03/2017,health7,9,64.99,584.91
01/04/2017,health7,9,64.99,584.91
01/05/2017,health7,16,64.99,1039.84
01/06/2017,health7,21,58.79952381,1234.79
01/07/2017,health7,15,59.25666667,888.85
01/08/2017,health7,22,58.99,1297.78
01/09/2017,health7,25,58.99,1474.75
01/10/2017,health7,19,58.99,1120.81
01/11/2017,health7,24,58.99,1415.76
01/12/2017,health7,9,58.99,530.91
01/01/2018,health7,6,58.99,353.94
01/02/2018,health7,14,58.99,825.86
01/03/2018,health7,10,58.99,589.9
01/04/2018,health7,11,58.99,648.89
01/05/2018,health7,4,58.99,235.96
01/06/2018,health7,6,58.99,353.94
01/07/2018,health7,2,58.99,117.98
01/08/2018,health7,3,58.99,176.97
01/02/2017,garden3,1,99.99,99.99
01/03/2017,garden3,11,99.99,1099.89
01/04/2017,garden3,8,96.65666667,759.92
01/05/2017,garden3,2,109.99,219.98
01/06/2017,garden3,2,119.99,239.98
01/07/2017,garden3,2,120,240
01/09/2017,garden3,4,104.25,417
01/10/2017,garden3,12,92.594,1105.92
01/11/2017,garden3,21,89.99,1889.79
01/12/2017,garden3,14,89.99,1259.86
01/01/2018,garden3,12,123.3316667,1479.98
01/02/2018,garden3,14,120,1680
01/03/2018,garden3,6,113.3333333,680
01/04/2018,garden3,7,110,770
01/05/2018,garden3,8,110,880
01/06/2018,garden3,10,96.65666667,969.9
01/07/2018,garden3,5,99.99,499.95
01/08/2018,garden3,2,99.99,199.98
01/08/2017,furniture3,1,38.4,38.4
01/09/2017,furniture3,6,38.4,230.4
01/10/2017,furniture3,8,38.4,307.2
01/11/2017,furniture3,34,34.58117647,1170.35
01/12/2017,furniture3,4,38.4,153.6
01/01/2018,furniture3,15,38.4,576
01/02/2018,furniture3,4,38.4,153.6
01/03/2018,furniture3,14,35.48571429,493.4
01/04/2018,furniture3,4,35,140
01/05/2018,furniture3,4,35,140
01/06/2018,furniture3,2,35,70
01/08/2018,furniture3,1,35,35
01/03/2017,watches3,1,78,78
01/06/2017,watches3,3,78,234
01/07/2017,watches3,1,78,78
01/08/2017,watches3,5,78,390
01/10/2017,watches3,3,78,234
01/11/2017,watches3,2,78,156
01/12/2017,watches3,6,78,468
01/01/2018,watches3,9,78,702
01/02/2018,watches3,1,78,78
01/03/2018,watches3,1,78,78
01/04/2018,watches3,16,78,1248
01/05/2018,watches3,5,78,390
01/06/2018,watches3,39,78,3042
01/07/2018,watches3,40,78,3120
01/08/2018,watches3,28,77.82142857,2179
01/07/2017,furniture2,5,75,375
01/08/2017,furniture2,13,75,975
01/10/2017,furniture2,5,75,375
01/11/2017,furniture2,44,75,3300
01/12/2017,furniture2,47,75,3525
01/01/2018,furniture2,122,69.9953271,8538
01/02/2018,furniture2,44,69.9,3075.6
01/03/2018,furniture2,65,69.9,4543.5
01/04/2018,furniture2,83,69.9,5801.7
01/05/2018,furniture2,92,69.9,6430.8
01/06/2018,furniture2,2,89.9,179.8
01/07/2018,furniture2,2,89.9,179.8
01/08/2018,furniture2,3,103.2333333,309.7
01/07/2017,furniture1,1,38.4,38.4
01/08/2017,furniture1,8,38.4,307.2
01/09/2017,furniture1,12,38.4,460.8
01/10/2017,furniture1,25,38.4,960
01/11/2017,furniture1,28,36.85428571,1026.51
01/01/2018,furniture1,2,38.4,76.8
01/02/2018,furniture1,9,38.4,345.6
01/03/2018,furniture1,17,35.48571429,601.8
01/04/2018,furniture1,17,35,595
01/05/2018,furniture1,11,35,385
01/06/2018,furniture1,13,35,455
01/07/2018,furniture1,10,35,350
01/08/2018,furniture1,16,35,560
01/02/2017,garden1,1,99.99,99.99
01/03/2017,garden1,5,99.99,499.95
01/05/2017,garden1,4,109.99,439.96
01/06/2017,garden1,6,109.99,659.94
01/07/2017,garden1,1,120,120
01/08/2017,garden1,2,120,240
01/09/2017,garden1,7,102.5,735
01/10/2017,garden1,17,95.29,1619.93
01/11/2017,garden1,28,89.99,2519.72
01/12/2017,garden1,27,89.99,2429.73
01/01/2018,garden1,11,127.7272727,1405
01/02/2018,garden1,7,120,840
01/03/2018,garden1,6,110,660
01/04/2018,garden1,5,110,550
01/05/2018,garden1,2,110,220
01/06/2018,garden1,6,89.99,539.94
01/07/2018,garden1,7,99.99,699.93
01/08/2018,garden1,6,98.32333333,589.94
01/02/2017,computers4,3,159.99,479.97
01/03/2017,computers4,3,159.99,479.97
01/04/2017,computers4,5,139.99,699.95
01/06/2017,computers4,3,159.99,479.97
01/07/2017,computers4,6,139.99,839.94
01/08/2017,computers4,7,145.7042857,1019.93
01/09/2017,computers4,11,151.99,1679.89
01/10/2017,computers4,17,154.6958824,2629.83
01/11/2017,computers4,18,149.99,2699.82
01/12/2017,computers4,23,149.99,3449.77
01/01/2018,computers4,43,156.5113514,6746.9
01/02/2018,computers4,31,149,4619
01/03/2018,computers4,44,136.1428571,5986
01/04/2018,computers4,56,120.9230769,6764
01/05/2018,computers4,25,119,2975
01/06/2018,computers4,27,114.4911538,3086.76
01/07/2018,computers4,9,119.99,1079.91
01/08/2018,computers4,10,119.99,1199.9
01/08/2017,watches7,2,339,678
01/09/2017,watches7,1,339,339
01/10/2017,watches7,10,346.158,3461.58
01/11/2017,watches7,9,345.7066667,3111.36
01/12/2017,watches7,11,348.8,3836.8
01/01/2018,watches7,1,339.9,339.9
01/02/2018,watches7,5,347,1735
01/03/2018,watches7,6,307.8333333,1847
01/04/2018,watches7,6,280.6666667,1684
01/05/2018,watches7,23,258.9695652,5956.3
01/06/2018,watches7,4,245.9,983.6
01/07/2018,watches7,45,169.3493182,7651.27
01/03/2017,watches1,5,241.006,1205.03
01/04/2017,watches1,3,255.61,766.83
01/06/2017,watches1,5,185,925
01/07/2017,watches1,10,197.383,1973.83
01/08/2017,watches1,15,179.9,2698.5
01/09/2017,watches1,20,164.57,3291.4
01/10/2017,watches1,4,232.49,929.96
01/11/2017,watches1,18,174.4333333,3139.8
01/12/2017,watches1,5,185.96,929.8
01/01/2018,watches1,2,199,398
01/02/2018,watches1,6,182,1092
01/03/2018,watches1,32,151.8784375,4860.11
01/04/2018,watches1,9,150.1333333,1351.2
01/05/2018,watches1,32,132.53125,4241
01/06/2018,watches1,15,138.22,2073.3
01/07/2018,watches1,2,155,310
01/08/2018,watches1,11,145.5509091,1601.06
01/11/2017,computers2,1,109.9,109.9
01/12/2017,computers2,12,109.9,1318.8
01/01/2018,computers2,29,97.6425,2831.55
01/02/2018,computers2,71,78.7122807,5581.8
01/03/2018,computers2,27,81.02391304,2187.3
01/04/2018,computers2,13,80.66666667,1042.9
01/05/2018,computers2,11,79.8,876.9
01/06/2018,computers2,10,78.9,789
01/07/2018,computers2,7,77.9,545.3
01/08/2018,computers2,2,77.9,155.8
01/10/2017,bed4,29,45.9,1331.1
01/11/2017,bed4,32,44.15444444,1421.67
01/12/2017,bed4,12,45.9,550.8
01/01/2018,bed4,19,45.9,872.1
01/02/2018,bed4,16,45.9,734.4
01/03/2018,bed4,8,47.9,383.2
01/04/2018,bed4,7,47.9,335.3
01/05/2018,bed4,2,47.9,95.8
01/06/2018,bed4,4,47.9,191.6
01/07/2018,bed4,2,47.9,95.8
01/05/2017,bed5,1,215,215
01/06/2017,bed5,10,209,2090
01/07/2017,bed5,59,205,12095
01/08/2017,bed5,52,199.5098039,10375
01/09/2017,bed5,32,163.3987097,5222.36
